Word,fq_No,prob_no,fq_Yes,prob_yes,fq_total
75,26,8.54482E-05,29,7.99964E-05,55
76,27,8.86129E-05,0,2.66655E-06,27
77,14,4.74712E-05,18,5.06644E-05,32
78,14,4.74712E-05,10,2.9332E-05,24
789,0,3.16475E-06,24,6.66636E-05,24
79,25,8.22834E-05,0,2.66655E-06,25
8,1215,0.003848333,915,0.002442556,2130
80,30,9.81072E-05,21,5.8664E-05,51
800,70,0.000224697,0,2.66655E-06,70
81,12,4.11417E-05,28,7.73298E-05,40
82,12,4.11417E-05,0,2.66655E-06,12
83,17,5.69655E-05,10,2.9332E-05,27
84,16,5.38007E-05,23,6.39971E-05,39
85,15,5.0636E-05,0,2.66655E-06,15
852,10,3.48122E-05,0,2.66655E-06,10
86,20,6.64597E-05,0,2.66655E-06,20
869,0,3.16475E-06,10,2.9332E-05,10
87,15,5.0636E-05,0,2.66655E-06,15
88,32,0.000104437,0,2.66655E-06,32
888,13,4.43065E-05,0,2.66655E-06,13
89,30,9.81072E-05,0,2.66655E-06,30
9,1336,0.004231267,846,0.002258564,2182
๙,27,8.86129E-05,11,3.19985E-05,38
90,30,9.81072E-05,29,7.99964E-05,59
900,11,3.7977E-05,0,2.66655E-06,11
904,0,3.16475E-06,74,0.000199991,74
91,25,8.22834E-05,57,0.00015466,82
916,54,0.000174061,0,2.66655E-06,54
92,43,0.000139249,0,2.66655E-06,43
9298,12,4.11417E-05,0,2.66655E-06,12
93,16,5.38007E-05,0,2.66655E-06,16
94,34,0.000110766,20,5.59975E-05,54
95,27,8.86129E-05,0,2.66655E-06,27
96,39,0.00012659,18,5.06644E-05,57
97,31,0.000101272,12,3.46651E-05,43
98,27,8.86129E-05,0,2.66655E-06,27
989,15,5.0636E-05,0,2.66655E-06,15
๙๘๙,12,4.11417E-05,0,2.66655E-06,12
99,81,0.000259509,19,5.33309E-05,100
9911,13,4.43065E-05,0,2.66655E-06,13
999,16,5.38007E-05,0,2.66655E-06,16
a,334,0.00106019,342,0.000914625,676
AAmornsrisang,0,3.16475E-06,15,4.26647E-05,15
AB,12,4.11417E-05,0,2.66655E-06,12
aBA,0,3.16475E-06,15,4.26647E-05,15
Ae,10,3.48122E-05,0,2.66655E-06,10
aekPUBS,0,3.16475E-06,52,0.000141327,52
AFNCThailand,0,3.16475E-06,69,0.000186658,69
AIS,0,3.16475E-06,10,2.9332E-05,10
ake,0,3.16475E-06,13,3.73316E-05,13
Alitsarah,0,3.16475E-06,88,0.000237323,88
AlwaysNoon,11,3.7977E-05,0,2.66655E-06,11
Am,0,3.16475E-06,11,3.19985E-05,11
AmaratJeab,0,3.16475E-06,75,0.000202657,75
AmDaengPrapi,0,3.16475E-06,88,0.000237323,88
amitaputt,10,3.48122E-05,0,2.66655E-06,10
amp,11,3.7977E-05,35,9.59956E-05,46
an,15,5.0636E-05,0,2.66655E-06,15
and,31,0.000101272,38,0.000103995,69
annpiyaa,0,3.16475E-06,10,2.9332E-05,10
anw,67,0.000215203,0,2.66655E-06,67
Ao,16,5.38007E-05,15,4.26647E-05,31
aorwiki,0,3.16475E-06,29,7.99964E-05,29
apad,0,3.16475E-06,12,3.46651E-05,12
Apple,13,4.43065E-05,0,2.66655E-06,13
appleM,11,3.7977E-05,0,2.66655E-06,11
Application,10,3.48122E-05,0,2.66655E-06,10
are,13,4.43065E-05,20,5.59975E-05,33
Area,0,3.16475E-06,782,0.002087905,782
arm,0,3.16475E-06,16,4.53313E-05,16
ARMdhiravath,0,3.16475E-06,203,0.000543975,203
army,0,3.16475E-06,3078,0.008210294,3078
ARMYLAND,0,3.16475E-06,13,3.73316E-05,13
armypr,0,3.16475E-06,1559,0.004159811,1559
ARMYSTRONG,0,3.16475E-06,11,3.19985E-05,11
ArmyYamo,0,3.16475E-06,20,5.59975E-05,20
aroii,17,5.69655E-05,0,2.66655E-06,17
art,11,3.7977E-05,0,2.66655E-06,11
as,11,3.7977E-05,0,2.66655E-06,11
ASgvWFSkxbXGQhHUjGMDApsQ,0,3.16475E-06,18,5.06644E-05,18
at,72,0.000231027,15,4.26647E-05,87
aviknowledge,0,3.16475E-06,10,2.9332E-05,10
aX,10,3.48122E-05,0,2.66655E-06,10
b,189,0.000601302,168,0.000450646,357
baby,11,3.7977E-05,0,2.66655E-06,11
babysbreath,17,5.69655E-05,0,2.66655E-06,17
BAf,0,3.16475E-06,27,7.46633E-05,27
BamBam,181,0.000575984,0,2.66655E-06,181
Bangkok,42,0.000136084,0,2.66655E-06,42
Bank,20,6.64597E-05,0,2.66655E-06,20
Barge,0,3.16475E-06,17,4.79978E-05,17
basementkaraok,0,3.16475E-06,12,3.46651E-05,12
basjtr,19,6.32949E-05,0,2.66655E-06,19
BB,55,0.000177226,17,4.79978E-05,72
BbizxiEQC,0,3.16475E-06,10,2.9332E-05,10
bbrightvc,255,0.000810175,0,2.66655E-06,255
BC,11,3.7977E-05,0,2.66655E-06,11
